"","D","mean.GR","sd.GR","N","se.GR","CL95.GR"
"266",26700000,12305.5713617354,8871.31261577268,20,1983.68580585192,3421.29909757583
"267",26800000,10569.2191025734,7534.96549511057,20,1684.86950551826,2905.92517310827
"268",26900000,5947.411927854,8300.27174766846,20,1855.99718595077,3201.07220541893
"269",27050000,13058.3745539447,10014.1936499766,19,2297.41358533131,3972.53321203131
"270",27200000,14513.1583496486,12240.8600006602,19,2808.24588025827,4855.83009437428
"271",27350000,18144.4257096907,13414.3127934396,18,3161.78384706621,5482.73430118871
"272",27500000,17384.0198038366,14591.9901789629,18,3439.36506885072,5964.07779576565
"273",27650000,17060.0767590645,13395.1142483423,18,3157.25870659045,5474.88741977486
"274",27800000,18102.9083173049,13740.862954463,18,3238.75245815195,5616.20276852438
"275",27950000,18408.3908381481,13607.0880832177,17,3300.20361318763,5741.05640291846
"276",28100000,18392.4197744182,13397.5780697673,17,3249.38997112407,5652.66064940832
"277",28250000,17970.4416276197,13242.8503379873,16,3310.71258449682,5780.11905811536
"278",28400000,17324.7037790492,12580.1460000152,16,3145.03650000379,5490.86788664961
"279",28550000,17284.5252861708,11199.6134943519,16,2799.90337358798,4888.30559509805
"280",28700000,16479.6186189629,9462.78195812213,16,2365.69548953053,4130.22913821171
"281",28850000,15330.1620889124,9591.74927053627,15,2476.57901238561,4341.56771856335
"282",2.9e+07,13973.4150385667,6445.27957030618,15,1664.16402916311,2917.36334325518
"283",29150000,14127.8743078391,6964.31444830316,15,1798.17825840199,3152.29703549026
"284",29300000,14131.8632294488,9118.49894256726,15,2354.38630313153,4127.35774614245
"285",29450000,14131.4415602844,16329.2051182156,16,4082.3012795539,7127.2231656148
"286",29600000,14127.4155763434,21583.6741822314,16,5395.91854555784,9420.64610720572
"287",29750000,14124.4896457337,26508.6756081336,16,6627.1689020334,11570.2660059857
"288",29900000,14122.6493032794,29571.7898759884,16,7392.9474689971,12907.2263056899
"289",30050000,14121.8666820258,29695.5597597957,16,7423.88993994893,12961.2482606283
"290",30200000,14122.4217835137,27476.375754086,16,6869.09393852149,11992.6389780728
"291",30350000,14124.8237125713,25231.2365032311,17,6119.4737157507,10645.4776359595
"292",30500000,14131.5173051612,23460.4272294815,17,5689.9893817217,9898.3437997388
"293",30650000,14212.1967424104,20890.923294779,17,5066.79313888531,8814.22742403591
"294",30800000,14168.0459315998,18435.5853185606,17,4471.28620814775,7778.27956190053
"295",30950000,14156.9049212993,16075.7748872122,17,3898.94811021339,6782.63635714491
"296",31100000,14161.21153479,15217.4347669273,17,3690.77005264634,6420.48840798002
"297",31250000,14171.9186719339,13472.4185473928,18,3175.47950461495,5506.48344251267
"298",31400000,14179.6069533632,13258.5474459667,18,3125.06960257555,5419.06946597299
"299",31550000,14193.5312551306,10640.4705442266,18,2507.9829589461,4349.00197512541
"300",31700000,1872.74733439161,9323.80077570973,18,2197.64091831225,3810.84913685881
"301",31850000,8805.34690928325,10038.3882699319,18,2366.07080595077,4102.91727527947
"302",3.2e+07,19486.853486805,14974.7680876015,18,3529.58668714631,6120.52782058218
"303",32150000,48219.8654390928,17800.3448176524,18,4195.58150934028,7275.40520394446
"304",32300000,47125.1609262756,18385.0710517723,18,4333.40280443489,7514.39609598492
"305",32450000,55166.9827643334,19274.4200294626,18,4543.02436875694,7877.89322183803
"306",32600000,61403.961317461,20390.6036312156,18,4806.11136670654,8334.10281035668
"307",32750000,61863.335284347,21681.5287078132,18,5110.38532526184,8861.73320832888
"308",32900000,60491.5370854285,22384.4728334996,18,5276.07084461787,9149.04243758771
"309",33050000,58555.608396762,22747.2438696581,18,5361.57679784645,9297.31519923053
"310",33200000,56063.0736648031,22720.3822830394,19,5212.41317528319,9012.95464858846
"311",33350000,52973.377099256,22378.3843620868,19,5133.95347126565,8877.28739998947
"312",33500000,49206.0521277209,21383.3695624376,19,4905.68142079205,8482.5747075623
"313",33650000,46145.0324644395,20068.1274826128,19,4603.9441938316,7960.83096796752
"314",33800000,39956.0046801643,18500.7058739591,19,4244.35301519775,7339.05006225809
"315",33950000,30338.7734179296,16359.2166158714,19,3753.06168547763,6489.54210402307
"316",34100000,12658.4502925128,12751.5760142364,19,2925.41216931229,5058.42616918179
"317",34250000,20276.7381145612,19462.2658625663,19,4464.95000564463,7720.49155656266
"318",34400000,7758.38079297974,11777.8034815167,19,2702.01342909541,4672.14007742023
"319",34550000,14970.0787010995,9434.48186984776,19,2164.41858185963,3742.56718776004
"320",34700000,22649.6123330525,15314.5912223185,19,3513.40818419586,6075.14937156078
"321",34850000,17423.3562567764,14304.54611476,19,3281.68794460296,5674.47430218709
"322",3.5e+07,384.257478915731,12370.7817949148,18,2915.82123192112,5056.21948167713
"323",35150000,6997.39325086347,10433.6694358003,18,2459.23947023773,4264.47766529664
"324",35300000,9385.29390112579,9268.12133921893,18,2184.51714927382,3788.09168658762
"325",35450000,10850.6898164706,9540.35162161977,19,2188.7067686571,3784.56468848391
"326",35600000,10941.4347719614,10863.3796265162,19,2492.23020933172,4309.39702882025
"327",35750000,7846.05637676904,12184.1776473134,19,2795.24205656769,4833.34475615567
"328",35900000,17375.8136631612,12509.8978458176,18,2948.6111995762,5113.07937124997
"329",36050000,17377.3057010299,12978.9966040019,18,3059.17883722897,5304.81068777331
"330",36200000,17378.715401306,13821.4882982044,18,3257.75603391694,5649.15617765405
"331",36350000,17380.0347807489,14109.8249501741,18,3325.71763454108,5767.00591594385
"332",36500000,17381.1722783015,11530.7814657463,18,2717.83125560313,4712.89226926904
"333",36650000,17381.830592456,9746.51072113746,18,2297.27460794123,3983.62029203746
"334",36800000,17383.0213315211,10085.6573644695,18,2377.21223838014,4122.23722778081
"335",36950000,55.4915370998536,9344.21259661497,17,2266.30444259239,3942.47845166753
"336",37100000,103.160866021774,7346.52187728096,17,1781.79327534943,3099.6195662732
